	enterocytes_fold_0_peaks	enterocytes_fold_1_peaks	enterocytes_fold_2_peaks	enterocytes_fold_3_peaks	enterocytes_fold_4_peaks	EEC_fold_0_peaks	EEC_fold_1_peaks	EEC_fold_2_peaks	EEC_fold_3_peaks	EEC_fold_4_peaks	Goblet_cell_fold_0_peaks	Goblet_cell_fold_1_peaks	Goblet_cell_fold_2_peaks	Goblet_cell_fold_3_peaks	Goblet_cell_fold_4_peaks	Stem_cell_fold_0_peaks	Stem_cell_fold_1_peaks	Stem_cell_fold_2_peaks	Stem_cell_fold_3_peaks	Stem_cell_fold_4_peaks
spearmanr	0.637267093884013	0.6327804097104471	0.6258665849078167	0.6096530568193083	0.6634163048981229	0.7006769062936857	0.6804836935072571	0.6883197771727592	0.6631791114435569	0.7213855894643909	0.7554316334323589	0.754401851330238	0.7362977907262438	0.7275894749429606	0.7584750016853875	0.6642141677916649	0.6574960237641245	0.6619671732151988	0.6419607462913836	0.6955795952463038
pearsonr	0.7124352485872048	0.7110087376312811	0.700722499062138	0.6903865532878579	0.7166864671083496	0.7572076340005423	0.7489341429249232	0.7447843225370975	0.7310045281283439	0.7557998578466559	0.7832439779553936	0.7898061868862615	0.7639525410792167	0.7679689977068493	0.7725075439783768	0.7414354633983807	0.7414530073038986	0.7389152062256962	0.7229064313682463	0.7509164581209556
mse	0.4609411253309765	0.44562565690736106	0.47884845417975164	0.45467172756638286	0.48269253164425996	0.3436867454977628	0.4022044995582951	0.3875955758063795	0.41188866107627736	0.3880982811612839	0.35343636183826316	0.35925154163849077	0.3437572151543942	0.3741962577452619	0.44081352985012956	0.43820212251214097	0.4717876189819298	0.4590761804006202	0.49428086040167474	0.4890461892732574
